movie_rank,movie_name,movie_year,movie_rating,summary
209,Ford v Ferrari,2019,8.1,american car designer carroll shelby driver ken miles battle corporate interference laws physics build revolutionary race car ford order defeat ferrari hours le mans
210,T�ky� monogatari,1953,8.1,old couple visit children grandchildren city receive little attention
211,The Big Lebowski,1998,8.1,jeff dude lebowski mistaken millionaire same name seeks restitution his ruined rug enlists his bowling buddies help get
212,Room,2015,8.1,little boy held captive room his mother since his birth so he never known world outside
213,Det sjunde inseglet,1957,8.1,knight returning sweden after crusades seeks answers about life death existence god he plays chess against grim reaper during black plague
214,Rocky,1976,8.1,smalltime philadelphia boxer gets supremely rare chance fight world heavyweight champion bout he strives go distance his selfrespect
215,Logan,2017,8.1,future where mutants nearly extinct elderly weary logan leads quiet life when laura mutant child pursued scientists comes him help he must get her safety
216,Spotlight,2015,8.1,true story how boston globe uncovered massive scandal child molestation coverup within local catholic archdiocese shaking entire catholic church its core
217,Hotel Rwanda,2004,8.1,paul rusesabagina hotel manager houses over thousand tutsi refugees during struggle against hutu militia rwanda africa
218,The Terminator,1984,8.1,human soldier sent stop almost indestructible cyborg killing machine sent same year been programmed execute young woman whose unborn son key humanitys future salvation
219,Platoon,1986,8.1,chris taylor neophyte recruit vietnam finds himself caught battle wills between two sergeants one good other evil shrewd examination brutality war duality man conflict
220,La passion de Jeanne d'Arc,1928,8.1,jeanne darc placed trial charges heresy ecclesiastical jurists attempt force jeanne recant her claims holy visions
221,La haine,1995,8.1,hours lives three young men french suburbs day after violent riot
222,Before Sunset,2004,8.1,nine years after jesse celine first met they encounter each other again french leg jesses book tour
223,The Best Years of Our Lives,1946,8.1,three world war ii veterans two them traumatized disabled return home american midwest discover they families have been irreparably changed
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,blacksmith turner teams up eccentric pirate captain jack sparrow save his love governors daughter jacks former pirate allies who now undead
225,The Exorcist,1973,8.1,when young girl possessed mysterious entity her mother seeks help two catholic priests save her life
226,Rush,2013,8.1,merciless s rivalry between formula one rivals james hunt niki lauda
227,Jai Bhim,2021,8.7,when tribal man arrested case alleged theft his wife turns humanrights lawyer help bring justice
228,Network,1976,8.1,television network cynically exploits deranged former anchors ravings revelations about news media its own profit finds his message may difficult control
229,Stand by Me,1986,8.1,writer recounts childhood journey his friends find body missing boy
230,The Wizard of Oz,1939,8.1,young dorothy gale her dog toto swept away tornado kansas farm magical land oz embark quest three new friends see wizard who return her her home fulfill others wishes
231,The Incredibles,2004,8,while trying lead quiet suburban life family undercover superheroes forced into action save world
232,Hachi: A Dog's Tale,2009,8.1,professor wilson discovers lost akita puppy his way home despite objections his wife hachi endears himself family grows parkers loyal companion bond grows deeper beautiful relationship unfolds
233,Ah-ga-ssi,2016,8.1,woman hired handmaiden japanese heiress secretly she involved plot defraud her
234,Into the Wild,2007,8.1,after graduating emory university top student athlete christopher mccandless abandons his possessions gives his entire savings account charity hitchhikes alaska live wilderness along way christopher encounters series characters shape his life
235,Babam ve Oglum,2005,8.2,family leftwing journalist torn apart after military coup turkey
236,The Sound of Music,1965,8.1,young novice sent her convent s austria become governess seven children widowed naval officer
237,La battaglia di Algeri,1966,8.1,s fear violence escalate people algiers fight independence french government
238,To Be or Not to Be,1942,8.1,during german occupation poland acting troupe becomes embroiled polish soldiers efforts track down german spy
